text,label
"Congratulations! You've won a free gift card. Click here to claim your prize.",1
"Urgent: Your account has been suspended. Please log in to verify your identity.",1
"Get cheap loans with low interest rates today. Apply now!",1
"Hi, are we still meeting for lunch tomorrow?",0
"Don't forget to submit your report by the end of the day.",0
"You have a new message from the security department. Verify your account.",1
"Exclusive offer: Save 50% on your next purchase. Limited time only!",1
"Hey, how's it going? Long time no see.",0
"Free entry into our $1000 prize draw. Text WIN to 88888.",1
"Please find the attached invoice for your recent order.",0
"Your subscription is about to expire. Renew now for a discount.",1
"Meeting reminder: Project sync at 10 AM in Room 302.",0
"Invest now and double your money in just one week! Guaranteed!",1
"Can you pick up some milk on your way home?",0
"Suspicious activity detected on your account. Change your password immediately.",1
"Hi Mom, I'll be home late tonight. Don't wait up.",0
"Get rich quick with this one simple trick. No experience needed!",1
"Thank you for your interest in our job opening. We will be in touch.",0
"Claim your free trial today! No credit card required.",1
"Just checking in to see if you received my previous email.",0
"Win a brand new iPhone! Just complete this short survey.",1
"The package you ordered has been shipped and is on its way.",0
"Urgent action required: Your tax refund is ready. Click to claim.",1
"Happy Birthday! Hope you have a great day.",0
"Your bank account has been locked. Click the link to unlock it.",1
